SalePrice,GarageCars,TotRmsAbvGrd,FullBath,GrLivArea,1stFlrSF,TotalBsmtSF,MasVnrArea,Lst_remod,old,OverallQual,EnclosedPorch,KitchenAbvGr,BsmtHalfBath,LowQualFinSF,BsmtFinSF2,OverallCond,MSSubClass,Last_sold,MiscVal,3SsnPorch
208500,2,8,2,1710,856,856,196.0,17,17,7,0,1,0,0,0,5,60,12,0,0
181500,2,6,2,1262,1262,1262,0.0,44,44,6,0,1,1,0,0,8,20,13,0,0
223500,2,6,2,1786,920,920,162.0,18,19,7,0,1,0,0,0,5,60,12,0,0
140000,3,7,1,1717,961,756,0.0,50,105,7,272,1,0,0,0,5,70,14,0,0
250000,3,9,2,2198,1145,1145,350.0,20,20,8,0,1,0,0,0,5,60,12,0,0
143000,2,5,1,1362,796,796,0.0,25,27,5,0,1,0,0,0,5,50,11,700,320
307000,2,7,2,1694,1694,1686,186.0,15,16,8,0,1,0,0,0,5,20,13,0,0
200000,2,7,2,2090,1107,1107,240.0,47,47,7,228,1,0,0,32,6,60,11,350,0
129900,2,8,2,1774,1022,952,0.0,70,89,7,205,2,0,0,0,5,50,12,0,0
118000,1,5,1,1077,1077,991,0.0,70,81,5,0,2,0,0,0,6,190,12,0,0
129500,1,5,1,1040,1040,1040,0.0,55,55,5,0,1,0,0,0,5,20,12,0,0
345000,3,11,3,2324,1182,1175,286.0,14,15,9,0,1,0,0,0,5,60,14,0,0
144000,1,4,1,912,912,912,0.0,58,58,5,0,1,0,0,0,6,20,12,0,0
279500,3,7,2,1494,1494,1494,306.0,13,14,7,0,1,0,0,0,5,20,13,0,0
157000,1,5,1,1253,1253,1253,212.0,60,60,6,176,1,0,0,0,5,20,12,0,0
132000,2,5,1,854,854,832,0.0,19,91,7,0,1,0,0,0,8,45,13,0,0
149000,2,5,1,1004,1004,1004,180.0,50,50,6,0,1,0,0,0,7,20,10,700,0
90000,2,6,2,1296,1296,0,0.0,53,53,4,0,2,0,0,0,5,90,14,500,0
159000,2,6,1,1114,1114,1114,0.0,16,16,5,0,1,0,0,0,5,20,12,0,0
139000,1,6,1,1339,1339,1029,0.0,55,62,5,0,1,0,0,0,6,20,11,0,0
325300,3,9,3,2376,1158,1158,380.0,14,15,8,0,1,0,0,0,5,60,14,0,0
139400,1,6,1,1108,1108,637,0.0,70,90,7,205,1,0,0,0,7,45,13,0,0
230000,2,7,2,1795,1795,1777,281.0,18,18,8,0,1,0,0,0,5,20,12,0,0
129900,2,6,1,1060,1060,1040,0.0,44,44,5,0,1,0,0,0,7,120,13,0,0
154000,1,6,1,1060,1060,1060,0.0,19,52,5,0,1,0,0,668,8,20,10,0,0
256300,3,7,2,1600,1600,1566,640.0,13,13,8,0,1,0,0,0,5,20,11,0,0
134800,2,5,1,900,900,900,0.0,20,69,5,0,1,1,0,486,7,20,10,0,0
306000,3,7,2,1704,1704,1704,200.0,12,13,8,0,1,0,0,0,5,20,10,0,0
207500,1,6,1,1600,1600,1484,0.0,23,63,5,0,1,0,0,0,6,20,14,0,0
68500,1,4,1,520,520,520,0.0,70,93,4,87,1,0,0,0,6,30,12,0,0
40000,1,6,1,1317,649,649,0.0,70,100,4,172,1,0,0,0,4,70,12,0,0
149350,1,6,1,1228,1228,1228,0.0,14,54,5,0,1,0,0,0,6,20,12,0,0
179900,2,7,2,1234,1234,1234,0.0,13,13,8,0,1,0,0,0,5,20,12,0,0
165500,2,6,1,1700,1700,1398,0.0,61,61,5,0,1,1,0,0,5,20,10,0,0
277500,2,6,2,1561,1561,1561,246.0,15,15,9,0,1,0,0,0,5,120,13,0,0
309000,3,9,3,2452,1132,1117,132.0,15,16,8,0,1,0,0,0,5,60,14,0,0
145000,2,6,1,1097,1097,1097,0.0,25,26,5,0,1,0,0,0,5,20,11,0,0
153000,2,5,1,1297,1297,1297,650.0,30,66,5,0,1,1,0,0,6,20,11,0,0
109000,1,5,1,1057,1057,1057,0.0,13,67,5,0,1,0,0,0,7,20,10,0,0
